type,date,title,title_en,origin,link,image
article,2025.11.14,"에스아이디파트너스, 글로벌 테크기업들과 '테크크런치 디스럽트 2025' 참가",,머니투데이,https://www.mt.co.kr/industry/2025/11/14/2025111414165255717,https://thumb.mt.co.kr/cdn-cgi/image/f=avif/21/2025/11/2025111414165255717_1.jpg
article,2025.11.13,투자 위축기에도 스타트업 '성장 행보',,중기이코노미,https://www.junggi.co.kr/article/articleView.html?no=34794,https://cdn.junggi.co.kr/news/photo/202511/34794_1_80.jpg
article,2025.11.12,무협 '스타트업 투자 지원은 투자·고용·해외진출로 연결',,서울경제,https://www.sedaily.com/NewsView/2H0FC67N9D,https://newsimg.sedaily.com/2025/11/12/2H0FC67N9D_1.png
article,2025.11.12,"인천시, '중소기업인대상' 시상식과 '우수중소기업' 인증서 수여식 개최",,인천in,https://www.incheonin.com/news/articleView.html?idxno=113635,https://www.incheonin.com/news/photo/202511/113635_175250_429.jpg
article,2025.11.10,"경기혁신센터, BIXPO 2025서 기후테크 기반 산업 전환 사례 보여",,플래텀,https://platum.kr/archives/274517,https://platum.kr/wp-content/uploads/2025/11/BIXPO202-2048x1536.jpg
article,2025.11.06,경기도 육성 기후테크 스타트업 4곳 'CES 2026' 혁신상 수상,,연합뉴스,https://n.news.naver.com/article/001/0015727002?sid=101,https://imgnews.pstatic.net/image/001/2025/11/06/AKR20251106035800061_01_i_P4_20251106090914825.jpg
article,2025.11.02,"건물부문 탄소감축 해법, '건물E 데이터 통합관리'",,KHARN칸,https://www.kharn.kr/news/article.html?no=29132,https://www.kharn.kr/data/photos/20251144/art_17620621874665_d0d307.jpg
article,2025.10.31,"인천 스타트업, 샌프란시스코에서 780만 달러 상담 성과",,브릿지경제,https://www.viva100.com/article/20251031500245,https://stqnq5ux4599.edge.naverncp.com/data2/content/image/2025/10/31/.cache/512/20251031500240.jpg
article,2025.09.28,'한국 기후테크 스타트업 보자' 뉴욕에 몰린 전세계 투자자 북새통,,한국경제,https://www.hankyung.com/article/202509282195i,https://img.hankyung.com/photo/202509/01.41876574.1.jpg
article,2025.09.22,"서울시, 데이터로 정책 바꾼다…시민 시각화 경진대회 나인와트 우수상",,환경과조경,https://www.lak.co.kr/news/boardview.php?id=21340,https://www.lak.co.kr/mark/watermark.php?path=http://www.lak.co.kr/data/news/editor/20250922153053_cvfltibn.jpg
article,2025.07.24,"파리서 머리 맞댄 K-스타트업, 유럽 진출의 길을 열다",,벤처스퀘어,https://www.venturesquare.net/995531,https://www.venturesquare.net/wp-content/uploads/2025/07/GCCEI_01-1.png
article,2025.07.19,"용인시산업진흥원, 50여 개 기업 참여 오픈이노베이션 교류회 성황 개최",,전자신문,https://www.etnews.com/20250719000070,https://img.etnews.com/news/article/2025/07/19/news-p.v1.20250719.b478cd13942f43c28d790c0e8eccb9f9_P1.jpg
article,2025.07.07,[세부과제 참여기관] 나인와트,,KHARN칸,https://www.kharn.kr/news/article.html?no=28218,https://www.kharn.kr/data/photos/20250727/art_17516170045572_173b06.png
article,2025.06.23,"ESG경영 친환경 건물 리모델링의 새로운 기준, ""나인와트의 그린플래너 APP""",,경기헤드라인,https://www.gheadline.co.kr/news/article.html?no=481103,https://www.gheadline.co.kr/data/photos/portnews/202506/20250623203427-36185.jpg
article,2025.06.22,"""기술 놀랍다"" 쏟아진 투자상담…비바테크 사로잡은 K스타트업",,머니투데이,https://news.mt.co.kr/mtview.php?no=2025062215245351374,https://thumb.mt.co.kr/06/2025/06/2025062215245351374_1.jpg/dims/optimize/
video,2025.06.10,VIVATECH Meetup NINEWATT,,에이빙뉴스,https://www.youtube.com/watch?v=2R8Y9kGafuM,https://i.ytimg.com/vi/2R8Y9kGafuM/0.jpg
article,2025.05.23,"IBK창공, 스타트업 8개사와 '2025년 일본 액셀러레이팅 프로그램'",,벤처스퀘어,https://www.venturesquare.net/970339,https://www.venturesquare.net/wp-content/uploads/2025/05/ibk.jpg
article,2025.04.24,"더데이원랩 등 19개 스타트업, 유럽 공략...'비바테크 2025' 참가",,머니투데이,https://news.mt.co.kr/mtview.php?no=2025042415491591088,https://thumb.mt.co.kr/21/2025/04/2025042415491591088_1.jpg
article,2025.04.18,"에너지공단, '8개 분산에너지 비즈니스 모델 지원 업무협약' 체결",,국토일보,https://www.ikld.kr/news/articleView.html?idxno=311777,http://www.ikld.kr/news/thumbnail/202504/311777_158634_1145_v150.jpg
article,2025.04.16,"나인와트, 건물 탄소관리 솔루션으로 탄소중립 시대 선도",,서울경제TV,https://www.sentv.co.kr/article/view/sentv202504160106,https://www.sentv.co.kr/data/sentv/image/2025/04/16/sentv20250416000104.jpg
article,2025.04.16,인천지식재산센터 '글로벌IP스타기업' 수여식,,경인일보,https://www.kyeongin.com/article/1736524,https://wimg.kyeongin.com/news/cms/2025/04/16/news-p.v1.20250416.bdd78a727ba2428a9aa6bd79ad1d1592_R.jpg
article,2025.02.04,"샘 올트먼, 국내 스타트업과 협력…AI 공동전선 구축",,아주경제,https://www.ajunews.com/view/20250204151150940,https://image.ajunews.com/content/image/2025/02/04/20250204151308896270.jpg
article,2025.01.16,"에스아이디파트너스, 투자기업 5개사 CES서 혁신상 수상·비즈니스 밋업 등 성과",,머니투데이,https://news.mt.co.kr/mtview.php?no=2025011615261725339,https://thumb.mt.co.kr/21/2025/01/2025011615261725339_1.jpg
video,2025.01.13,Ninewatt : Urban Energy Renovation Solution 'WATTI' at CES 2025,,에이빙뉴스,https://www.youtube.com/watch?v=ELIT_G9AUHk,https://i.ytimg.com/vi/ELIT_G9AUHk/0.jpg
video,2024.11.21,"나인와트, 에너지 리노베이션 플랫폼 'WATTI' 알린다",,AVING NEWS,https://www.youtube.com/watch?v=uO1DN4U5oBs,https://i.ytimg.com/vi/uO1DN4U5oBs/maxresdefault.jpg
article,2024.11.14,"인천센터, 빅웨이브 글로벌 참여기업 2개사 일본 현지 IR 피칭 성료",,브레이크뉴스,https://www.breaknews.com/1070760,http://www.ebreaknews.com/imgdata/ebreaknews_com/202411/2024111438133136.jpg
article,2024.11.13,"마이크로소프트와 손잡는 인천... 인천경제청, 스타트업 육성 '협업'",,경기일보,https://www.kyeonggi.com/article/20241113580126,https://ypzxxdrj8709.edge.naverncp.com/data2/content/image/2024/11/13/.cache/512/20241113580151.jpg
article,2024.11.13,"인천경제청과 한국MS, 인천 유망 스타트업 육성 업무협약 체결",,인천in,https://www.incheonin.com/news/articleView.html?idxno=105379,http://www.incheonin.com/news/thumbnail/202411/105379_158398_4149_v150.jpg
article,2024.11.06,"IBK창공, 2024년 일본 액셀러레이팅 프로그램 성료",,프라임경제,https://www.newsprime.co.kr/news/article/?no=661663,http://www.newsprime.co.kr/data/photos/cdn/20241145/art_661663_1730859711.jpg
article,2024.10.18,"나인와트, 시나넨 홀딩스와 함께 스마트시티 글로벌 실증 프로젝트 본격 추진",,비욘드포스트,https://www.beyondpost.co.kr/view.php?ud=2024101811465667599aeda69934_30,https://cgeimage.commutil.kr/phpwas/restmb_allidxmake.php?pp=002&idx=999&simg=20241018114705082769aeda6993417521136223.jpg&nmt=30
